id	dob	Sex	penAge	maritalSatatus	dobParnter	sexPartner	Lop	Lpp	LppIngegaan	Wzp	WzpIngegaan	Top	topStart	topEnd
1	3401	F	65	M	4192	M	18197	12737.9		2547.58		4549.25	62	65
2	8540	F	65	M	9332	M	23771	16639.7		3327.94		5942.75	62	65
3	8002	F	65	M	8793	M	6091	4263.7		852.74		1522.75	62	65
4	5805	F	65	M	6597	M	22760	15932		3186.4		5690	62	65
5	33125	M	65	U		F	9839	6887.3		1377.46		2459.75	62	65
6	3526	F	65	M	4317	M	5433	3803.1		760.62		1358.25	62	65
7	20320	M	65	U		F	2114	1479.8		295.96		528.5	62	65
8	19759	M	65	U		F	22842	15989.4		3197.88		5710.5	62	65
9	6269	F	65	M	7058	M	9192	6434.4		1286.88		2298	62	65
10	26150	M	65	U		F	19207	13444.9		2688.98		4801.75	62	65
11	32404	F	65	U		M	16955	11868.5		2373.7		4238.75	62	65
12	28294	F	65	U		M	18668	13067.6		2613.52		4667	62	65
13	3224	F	65	M	4015	M	12608	8825.6		1765.12		3152	62	65
14	8152	F	65	M	8944	M	10902	7631.4		1526.28		2725.5	62	65
15	4550	F	65	M	5341	M	20842	14589.4		2917.88		5210.5	62	65
16	31694	M	65	U		F	12194	8535.8		1707.16		3048.5	62	65
17	32234	M	65	U		F	15418	10792.6		2158.52		3854.5	62	65
18	19461	F	65	M	20252	M	23788	16651.6		3330.32		5947	62	65
19	20385	F	65	U		M	4810	3367		673.4		1202.5	62	65
20	31934	M	65	U		F	2470	1729		345.8		617.5	62	65
21	17521	F	65	M	18314	M	9869	6908.3		1381.66		2467.25	62	65
22	25586	M	65	U		F	2795	1956.5		391.3		698.75	62	65
23	19197	M	65	M	18405	F	9197	6437.9		1287.58		2299.25	62	65
24	8356	M	65	M	7565	F	8035	5624.5		1124.9		2008.75	62	65
25	30882	M	65	U		F	22640	15848		3169.6		5660	62	65
26	34205	M	65	U		F	24023	16816.1		3363.22		6005.75	62	65
27	9409	M	65	M	8617	F	21622	15135.4		3027.08		5405.5	62	65
28	23510	M	65	U		F	20518	14362.6		2872.52		5129.5	62	65
29	22093	F	65	U		M	1423	996.1		199.22		355.75	62	65
30	21868	F	65	U		M	18572	13000.4		2600.08		4643	62	65
31	21547	F	65	U		M	6016	4211.2		842.24		1504	62	65
32	19893	F	65	U		M	10419	7293.3		1458.66		2604.75	62	65
33	975	F	65	M	1767	M	14727	10308.9		2061.78		3681.75	62	65
34	25798	M	65	U		F	15341	10738.7		2147.74		3835.25	62	65
35	23744	M	65	U		F	12598	8818.6		1763.72		3149.5	62	65
36	3901	F	65	M	4693	M	4743	3320.1		664.02		1185.75	62	65
37	13412	F	65	M	14203	M	14622	10235.4		2047.08		3655.5	62	65
38	18916	M	65	M	18125	F	13608	9525.6		1905.12		3402	62	65
39	32684	F	65	U		M	8993	6295.1		1259.02		2248.25	62	65
40	20677	M	65	U		F	15402	10781.4		2156.28		3850.5	62	65
41	739	M	65	M	-52	F	5933	4153.1		830.62		1483.25	62	65
42	21064	F	65	U		M	18717	13101.9		2620.38		4679.25	62	65
43	29015	M	65	U		F	9256	6479.2		1295.84		2314	62	65
44	33517	M	65	U		F	1728	1209.6		241.92		432	62	65
45	4871	M	65	M	4079	F	4308	3015.6		603.12		1077	62	65
46	15178	M	65	M	14386	F	23860	16702		3340.4		5965	62	65
47	16178	F	65	M	16969	M	11455	8018.5		1603.7		2863.75	62	65
48	17183	F	65	M	17973	M	23577	16503.9		3300.78		5894.25	62	65
49	34216	M	65	U		F	16696	11687.2		2337.44		4174	62	65
50	7221	F	65	M	8013	M	20307	14214.9		2842.98		5076.75	62	65
51	30532	F	65	U		M	3103	2172.1		434.42		775.75	62	65
52	30665	F	65	U		M	2459	1721.3		344.26		614.75	62	65
53	12452	F	65	M	13242	M	16601	11620.7		2324.14		4150.25	62	65
54	3151	M	65	M	2359	F	22291	15603.7		3120.74		5572.75	62	65
55	19387	F	65	M	20176	M	18637	13045.9		2609.18		4659.25	62	65
56	25499	F	65	U		M	9256	6479.2		1295.84		2314	62	65
57	2725	F	65	M	3517	M	3277	2293.9		458.78		819.25	62	65
58	16550	F	65	M	17341	M	5817	4071.9		814.38		1454.25	62	65
59	32936	F	65	U		M	9698	6788.6		1357.72		2424.5	62	65
60	3327	F	65	M	4116	M	18344	12840.8		2568.16		4586	62	65
61	26245	M	65	U		F	15985	11189.5		2237.9		3996.25	62	65
62	14439	M	65	M	13648	F	19126	13388.2		2677.64		4781.5	62	65
63	31255	M	65	U		F	13821	9674.7		1934.94		3455.25	62	65
64	350	F	65	M	1142	M	18005	12603.5		2520.7		4501.25	62	65
65	16815	F	65	M	17605	M	9801	6860.7		1372.14		2450.25	62	65
66	11603	F	65	M	12395	M	22213	15549.1		3109.82		5553.25	62	65
67	466	F	65	M	1257	M	5506	3854.2		770.84		1376.5	62	65
68	11390	F	65	M	12182	M	11566	8096.2		1619.24		2891.5	62	65
69	6806	M	65	M	6015	F	21552	15086.4		3017.28		5388	62	65
70	25511	F	65	U		M	16727	11708.9		2341.78		4181.75	62	65
71	27622	M	65	U		F	21651	15155.7		3031.14		5412.75	62	65
72	26331	M	65	U		F	14054	9837.8		1967.56		3513.5	62	65
73	18904	M	65	M	18113	F	14838	10386.6		2077.32		3709.5	62	65
74	33751	M	65	U		F	10860	7602		1520.4		2715	62	65
75	33765	M	65	U		F	18807	13164.9		2632.98		4701.75	62	65
76	31602	F	65	U		M	18723	13106.1		2621.22		4680.75	62	65
77	24937	F	65	U		M	12376	8663.2		1732.64		3094	62	65
78	25054	F	65	U		M	18924	13246.8		2649.36		4731	62	65
79	2486	F	65	M	3278	M	1799	1259.3		251.86		449.75	62	65
80	4756	F	65	M	5545	M	10581	7406.7		1481.34		2645.25	62	65
81	17692	F	65	M	18483	M	15700	10990		2198		3925	62	65
82	30297	M	65	U		F	4697	3287.9		657.58		1174.25	62	65
83	3079	F	65	M	3870	M	12845	8991.5		1798.3		3211.25	62	65
84	27381	F	65	U		M	9277	6493.9		1298.78		2319.25	62	65
85	28341	M	65	U		F	20429	14300.3		2860.06		5107.25	62	65
86	33776	F	65	U		M	15731	11011.7		2202.34		3932.75	62	65
87	20777	M	65	U		F	19278	13494.6		2698.92		4819.5	62	65
88	31937	F	65	U		M	19033	13323.1		2664.62		4758.25	62	65
89	3089	M	65	M	2297	F	24809	17366.3		3473.26		6202.25	62	65
90	11462	F	65	M	12254	M	21211	14847.7		2969.54		5302.75	62	65
91	27279	F	65	U		M	24705	17293.5		3458.7		6176.25	62	65
92	28724	M	65	U		F	10685	7479.5		1495.9		2671.25	62	65
93	11258	M	65	M	10467	F	8128	5689.6		1137.92		2032	62	65
94	27876	M	65	U		F	11261	7882.7		1576.54		2815.25	62	65
95	31163	F	65	U		M	3542	2479.4		495.88		885.5	62	65
96	999	F	65	M	1791	M	725	507.5		101.5		181.25	62	65
97	27994	M	65	U		F	1298	908.6		181.72		324.5	62	65
98	5317	F	65	M	6110	M	23043	16130.1		3226.02		5760.75	62	65
99	23915	M	65	U		F	9203	6442.1		1288.42		2300.75	62	65
100	22063	F	65	U		M	17265	12085.5		2417.1		4316.25	62	65
101	22822	M	65	U		F	4542	3179.4		635.88		1135.5	62	65
102	27138	M	65	U		F	20563	14394.1		2878.82		5140.75	62	65
103	15593	M	65	M	14801	F	519	363.3		72.66		129.75	62	65
104	4150	M	65	M	3359	F	13443	9410.1		1882.02		3360.75	62	65
105	28672	F	65	U		M	14965	10475.5		2095.1		3741.25	62	65
106	19678	F	65	M	20469	M	19410	13587		2717.4		4852.5	62	65
107	2714	F	65	M	3506	M	16007	11204.9		2240.98		4001.75	62	65
108	2755	F	65	M	3548	M	16481	11536.7		2307.34		4120.25	62	65
109	15122	F	65	M	15913	M	20639	14447.3		2889.46		5159.75	62	65
110	19062	F	65	M	19853	M	18796	13157.2		2631.44		4699	62	65
111	32698	F	65	U		M	4100	2870		574		1025	62	65
112	32428	M	65	U		F	23333	16333.1		3266.62		5833.25	62	65
113	25546	M	65	U		F	12852	8996.4		1799.28		3213	62	65
114	17240	M	65	M	16451	F	24984	17488.8		3497.76		6246	62	65
115	21499	F	65	U		M	12547	8782.9		1756.58		3136.75	62	65
116	22670	F	65	U		M	2435	1704.5		340.9		608.75	62	65
117	8713	M	65	M	7922	F	7718	5402.6		1080.52		1929.5	62	65
118	29408	F	65	U		M	15568	10897.6		2179.52		3892	62	65
119	34135	M	65	U		F	20526	14368.2		2873.64		5131.5	62	65
120	25128	M	65	U		F	1108	775.6		155.12		277	62	65
121	17612	F	65	M	18403	M	17110	11977		2395.4		4277.5	62	65
122	6218	F	65	M	7007	M	12787	8950.9		1790.18		3196.75	62	65
123	27033	M	65	U		F	20971	14679.7		2935.94		5242.75	62	65
124	15756	F	65	M	16546	M	6422	4495.4		899.08		1605.5	62	65
125	8844	F	65	M	9635	M	22666	15866.2		3173.24		5666.5	62	65
126	15516	M	65	M	14725	F	6190	4333		866.6		1547.5	62	65
127	13627	F	65	M	14418	M	20051	14035.7		2807.14		5012.75	62	65
128	7967	M	65	M	7175	F	21614	15129.8		3025.96		5403.5	62	65
129	31513	F	65	U		M	10337	7235.9		1447.18		2584.25	62	65
130	6207	M	65	M	5415	F	17248	12073.6		2414.72		4312	62	65
131	21228	M	65	U		F	24316	17021.2		3404.24		6079	62	65
132	8147	M	65	M	7357	F	18573	13001.1		2600.22		4643.25	62	65
133	21506	M	65	U		F	3532	2472.4		494.48		883	62	65
134	4558	M	65	M	3766	F	3057	2139.9		427.98		764.25	62	65
135	21377	F	65	U		M	18467	12926.9		2585.38		4616.75	62	65
136	14472	M	65	M	13681	F	6092	4264.4		852.88		1523	62	65
137	17433	F	65	M	18225	M	13549	9484.3		1896.86		3387.25	62	65
138	25534	M	65	U		F	9186	6430.2		1286.04		2296.5	62	65
139	13076	M	65	M	12285	F	24326	17028.2		3405.64		6081.5	62	65
140	4341	M	65	M	3550	F	876	613.2		122.64		219	62	65
141	7288	M	65	M	6497	F	8632	6042.4		1208.48		2158	62	65
142	1949	F	65	M	2740	M	8821	6174.7		1234.94		2205.25	62	65
143	26140	F	65	U		M	24923	17446.1		3489.22		6230.75	62	65
144	25351	F	65	U		M	15956	11169.2		2233.84		3989	62	65
145	13395	F	65	M	14186	M	13838	9686.6		1937.32		3459.5	62	65
146	14414	F	65	M	15206	M	10161	7112.7		1422.54		2540.25	62	65
147	30364	F	65	U		M	24753	17327.1		3465.42		6188.25	62	65
148	14193	F	65	M	14985	M	21157	14809.9		2961.98		5289.25	62	65
149	19598	F	65	M	20389	M	24616	17231.2		3446.24		6154	62	65
150	15848	M	65	M	15057	F	16623	11636.1		2327.22		4155.75	62	65
151	11380	F	65	M	12170	M	3894	2725.8		545.16		973.5	62	65
152	8117	F	65	M	8909	M	23872	16710.4		3342.08		5968	62	65
153	220	F	65	M	1011	M	24815	17370.5		3474.1		6203.75	62	65
154	4840	M	65	M	4050	F	11116	7781.2		1556.24		2779	62	65
155	32121	F	65	U		M	7580	5306		1061.2		1895	62	65
156	13568	F	65	M	14357	M	6036	4225.2		845.04		1509	62	65
157	18719	M	65	M	17930	F	19726	13808.2		2761.64		4931.5	62	65
158	23359	F	65	U		M	2981	2086.7		417.34		745.25	62	65
159	25437	F	65	U		M	18140	12698		2539.6		4535	62	65
160	16912	F	65	M	17704	M	16293	11405.1		2281.02		4073.25	62	65
161	4941	M	65	M	4149	F	7807	5464.9		1092.98		1951.75	62	65
162	30002	M	65	U		F	12441	8708.7		1741.74		3110.25	62	65
163	2610	M	65	M	1818	F	7158	5010.6		1002.12		1789.5	62	65
164	11311	F	65	M	12104	M	8389	5872.3		1174.46		2097.25	62	65
165	6548	F	65	M	7340	M	18424	12896.8		2579.36		4606	62	65
166	3184	F	65	M	3975	M	6217	4351.9		870.38		1554.25	62	65
167	16416	M	65	M	15624	F	22150	15505		3101		5537.5	62	65
168	2934	M	65	M	2143	F	21572	15100.4		3020.08		5393	62	65
169	31540	M	65	U		F	4997	3497.9		699.58		1249.25	62	65
170	29135	M	65	U		F	11361	7952.7		1590.54		2840.25	62	65
171	164	M	65	M	-627	F	4657	3259.9		651.98		1164.25	62	65
172	17294	F	65	M	18086	M	23312	16318.4		3263.68		5828	62	65
173	32118	M	65	U		F	2089	1462.3		292.46		522.25	62	65
174	9476	M	65	M	8684	F	3375	2362.5		472.5		843.75	62	65
175	16861	F	65	M	17651	M	7469	5228.3		1045.66		1867.25	62	65
176	12151	M	65	M	11361	F	9594	6715.8		1343.16		2398.5	62	65
177	2078	F	65	M	2869	M	11554	8087.8		1617.56		2888.5	62	65
178	18028	M	65	M	17236	F	12026	8418.2		1683.64		3006.5	62	65
179	25361	M	65	U		F	9740	6818		1363.6		2435	62	65
180	8726	F	65	M	9518	M	23683	16578.1		3315.62		5920.75	62	65
181	26286	F	65	U		M	729	510.3		102.06		182.25	62	65
182	24701	F	65	U		M	13378	9364.6		1872.92		3344.5	62	65
183	28648	M	65	U		F	15837	11085.9		2217.18		3959.25	62	65
184	32789	F	65	U		M	16061	11242.7		2248.54		4015.25	62	65
185	21583	F	65	U		M	17611	12327.7		2465.54		4402.75	62	65
186	9427	F	65	M	10218	M	13988	9791.6		1958.32		3497	62	65
187	20952	M	65	U		F	17691	12383.7		2476.74		4422.75	62	65
188	25511	F	65	U		M	20295	14206.5		2841.3		5073.75	62	65
189	7971	F	65	M	8762	M	16541	11578.7		2315.74		4135.25	62	65
190	31147	M	65	U		F	1628	1139.6		227.92		407	62	65
191	34737	M	65	U		F	5818	4072.6		814.52		1454.5	62	65
192	7298	M	65	M	6507	F	3307	2314.9		462.98		826.75	62	65
193	11611	F	65	M	12403	M	8534	5973.8		1194.76		2133.5	62	65
194	12039	M	65	M	11247	F	18647	13052.9		2610.58		4661.75	62	65
195	22651	M	65	U		F	21823	15276.1		3055.22		5455.75	62	65
196	4150	F	65	M	4942	M	5246	3672.2		734.44		1311.5	62	65
197	11019	M	65	M	10229	F	9565	6695.5		1339.1		2391.25	62	65
198	3117	M	65	M	2325	F	20049	14034.3		2806.86		5012.25	62	65
199	17932	F	65	M	18721	M	6954	4867.8		973.56		1738.5	62	65
200	2300	F	65	M	3092	M	4575	3202.5		640.5		1143.75	62	65
201	34522	M	65	U		F	11876	8313.2		1662.64		2969	62	65
202	21794	F	65	U		M	15748	11023.6		2204.72		3937	62	65
203	14049	M	65	M	13258	F	19392	13574.4		2714.88		4848	62	65
204	19332	F	65	M	20124	M	3316	2321.2		464.24		829	62	65
205	28503	M	65	U		F	7794	5455.8		1091.16		1948.5	62	65
206	28672	F	65	U		M	14806	10364.2		2072.84		3701.5	62	65
207	23775	F	65	U		M	16480	11536		2307.2		4120	62	65
208	26060	M	65	U		F	18918	13242.6		2648.52		4729.5	62	65
209	24954	M	65	U		F	15812	11068.4		2213.68		3953	62	65
210	9538	F	65	M	10328	M	12883	9018.1		1803.62		3220.75	62	65
211	4910	M	65	M	4118	F	580	406		81.2		145	62	65
212	14136	F	65	M	14928	M	8012	5608.4		1121.68		2003	62	65
213	3820	M	65	M	3029	F	17661	12362.7		2472.54		4415.25	62	65
214	13778	F	65	M	14569	M	4352	3046.4		609.28		1088	62	65
215	7435	M	65	M	6643	F	20395	14276.5		2855.3		5098.75	62	65
216	34127	M	65	U		F	24577	17203.9		3440.78		6144.25	62	65
217	5641	M	65	M	4850	F	24028	16819.6		3363.92		6007	62	65
218	12908	F	65	M	13700	M	9427	6598.9		1319.78		2356.75	62	65
219	4373	M	65	M	3582	F	17507	12254.9		2450.98		4376.75	62	65
220	15338	F	65	M	16130	M	23747	16622.9		3324.58		5936.75	62	65
221	3994	F	65	M	4787	M	14505	10153.5		2030.7		3626.25	62	65
222	30514	F	65	U		M	23358	16350.6		3270.12		5839.5	62	65
223	25552	F	65	U		M	5180	3626		725.2		1295	62	65
224	21325	F	65	U		M	9264	6484.8		1296.96		2316	62	65
225	23070	F	65	U		M	8787	6150.9		1230.18		2196.75	62	65
226	8465	F	65	M	9257	M	6394	4475.8		895.16		1598.5	62	65
227	8754	F	65	M	9547	M	15725	11007.5		2201.5		3931.25	62	65
228	21276	F	65	U		M	18462	12923.4		2584.68		4615.5	62	65
229	3424	M	65	M	2632	F	4767	3336.9		667.38		1191.75	62	65
230	19756	M	65	U		F	17911	12537.7		2507.54		4477.75	62	65
231	32440	M	65	U		F	11502	8051.4		1610.28		2875.5	62	65
232	17033	F	65	M	17825	M	4935	3454.5		690.9		1233.75	62	65
233	28787	F	65	U		M	7494	5245.8		1049.16		1873.5	62	65
234	11040	F	65	M	11832	M	22321	15624.7		3124.94		5580.25	62	65
235	10009	F	65	M	10801	M	16827	11778.9		2355.78		4206.75	62	65
236	19531	F	65	M	20322	M	15374	10761.8		2152.36		3843.5	62	65
237	3016	F	65	M	3807	M	20298	14208.6		2841.72		5074.5	62	65
238	6524	M	65	M	5732	F	3847	2692.9		538.58		961.75	62	65
239	20597	F	65	U		M	1561	1092.7		218.54		390.25	62	65
240	2883	M	65	M	2092	F	12952	9066.4		1813.28		3238	62	65
241	11101	M	65	M	10310	F	19861	13902.7		2780.54		4965.25	62	65
242	29983	F	65	U		M	24110	16877		3375.4		6027.5	62	65
243	2728	M	65	M	1937	F	11892	8324.4		1664.88		2973	62	65
244	3540	M	65	M	2747	F	9622	6735.4		1347.08		2405.5	62	65
245	27813	F	65	U		M	14181	9926.7		1985.34		3545.25	62	65
246	10981	M	65	M	10189	F	9552	6686.4		1337.28		2388	62	65
247	1114	M	65	M	323	F	2272	1590.4		318.08		568	62	65
248	23237	M	65	U		F	3260	2282		456.4		815	62	65
249	1201	M	65	M	412	F	20414	14289.8		2857.96		5103.5	62	65
250	13902	F	65	M	14692	M	5679	3975.3		795.06		1419.75	62	65
251	10793	M	65	M	10001	F	6813	4769.1		953.82		1703.25	62	65
252	22466	M	65	U		F	12591	8813.7		1762.74		3147.75	62	65
253	31930	M	65	U		F	21596	15117.2		3023.44		5399	62	65
254	29499	F	65	U		M	1576	1103.2		220.64		394	62	65
255	9234	F	65	M	10025	M	1754	1227.8		245.56		438.5	62	65
256	10936	F	65	M	11728	M	11824	8276.8		1655.36		2956	62	65
257	17516	F	65	M	18309	M	21794	15255.8		3051.16		5448.5	62	65
258	2469	F	65	M	3261	M	22984	16088.8		3217.76		5746	62	65
259	21490	F	65	U		M	4587	3210.9		642.18		1146.75	62	65
260	6110	M	65	M	5317	F	20340	14238		2847.6		5085	62	65
261	23307	F	65	U		M	11977	8383.9		1676.78		2994.25	62	65
262	14563	M	65	M	13772	F	21125	14787.5		2957.5		5281.25	62	65
263	29450	F	65	U		M	7419	5193.3		1038.66		1854.75	62	65
264	13549	F	65	M	14338	M	19064	13344.8		2668.96		4766	62	65
265	22254	M	65	U		F	16845	11791.5		2358.3		4211.25	62	65
266	25154	F	65	U		M	1103	772.1		154.42		275.75	62	65
267	13735	M	65	M	12943	F	17334	12133.8		2426.76		4333.5	62	65
268	7281	F	65	M	8074	M	6070	4249		849.8		1517.5	62	65
269	23430	F	65	U		M	1520	1064		212.8		380	62	65
270	8082	F	65	M	8872	M	21438	15006.6		3001.32		5359.5	62	65
271	4223	F	65	M	5016	M	3535	2474.5		494.9		883.75	62	65
272	24127	F	65	U		M	16073	11251.1		2250.22		4018.25	62	65
273	30525	M	65	U		F	12544	8780.8		1756.16		3136	62	65
274	23994	M	65	U		F	19580	13706		2741.2		4895	62	65
275	8828	M	65	M	8038	F	5072	3550.4		710.08		1268	62	65
276	19937	F	65	U		M	1851	1295.7		259.14		462.75	62	65
277	6206	M	65	M	5414	F	21979	15385.3		3077.06		5494.75	62	65
278	14283	M	65	M	13491	F	2685	1879.5		375.9		671.25	62	65
279	21568	F	65	U		M	14357	10049.9		2009.98		3589.25	62	65
280	9415	F	65	M	10206	M	2656	1859.2		371.84		664	62	65
281	13768	M	65	M	12975	F	19290	13503		2700.6		4822.5	62	65
282	30868	M	65	U		F	24416	17091.2		3418.24		6104	62	65
283	6048	F	65	M	6840	M	4151	2905.7		581.14		1037.75	62	65
284	5708	M	65	M	4917	F	11175	7822.5		1564.5		2793.75	62	65
285	15449	M	65	M	14659	F	11448	8013.6		1602.72		2862	62	65
286	31811	F	65	U		M	14064	9844.8		1968.96		3516	62	65
287	6621	F	65	M	7411	M	5346	3742.2		748.44		1336.5	62	65
288	33497	F	65	U		M	813	569.1		113.82		203.25	62	65
289	1636	F	65	M	2427	M	12693	8885.1		1777.02		3173.25	62	65
290	502	M	65	M	-289	F	7783	5448.1		1089.62		1945.75	62	65
291	3495	F	65	M	4287	M	23992	16794.4		3358.88		5998	62	65
292	7285	M	65	M	6494	F	12156	8509.2		1701.84		3039	62	65
293	19978	M	65	U		F	17172	12020.4		2404.08		4293	62	65
294	19914	F	65	U		M	7597	5317.9		1063.58		1899.25	62	65
295	22815	F	65	U		M	518	362.6		72.52		129.5	62	65
296	17771	F	65	M	18562	M	3097	2167.9		433.58		774.25	62	65
297	6682	M	65	M	5892	F	13817	9671.9		1934.38		3454.25	62	65
298	15953	F	65	M	16745	M	5792	4054.4		810.88		1448	62	65
299	26759	F	65	U		M	12737	8915.9		1783.18		3184.25	62	65
300	22717	F	65	U		M	11956	8369.2		1673.84		2989	62	65
301	31595	M	65	U		F	9061	6342.7		1268.54		2265.25	62	65
302	2889	M	65	M	2098	F	13951	9765.7		1953.14		3487.75	62	65
303	9224	M	65	M	8434	F	16212	11348.4		2269.68		4053	62	65
304	18722	F	65	M	19514	M	12010	8407		1681.4		3002.5	62	65
305	31008	M	65	U		F	16068	11247.6		2249.52		4017	62	65
306	16875	F	65	M	17667	M	21759	15231.3		3046.26		5439.75	62	65
307	32116	M	65	U		F	1154	807.8		161.56		288.5	62	65
308	1769	M	65	M	977	F	8846	6192.2		1238.44		2211.5	62	65
309	22042	F	65	U		M	21775	15242.5		3048.5		5443.75	62	65
310	24052	F	65	U		M	18665	13065.5		2613.1		4666.25	62	65
311	4405	M	65	M	3614	F	2623	1836.1		367.22		655.75	62	65
312	20962	M	65	U		F	7667	5366.9		1073.38		1916.75	62	65
313	34602	F	65	U		M	5055	3538.5		707.7		1263.75	62	65
314	13428	F	65	M	14219	M	22358	15650.6		3130.12		5589.5	62	65
315	11144	M	65	M	10353	F	4899	3429.3		685.86		1224.75	62	65
316	2827	F	65	M	3619	M	9511	6657.7		1331.54		2377.75	62	65
317	13150	F	65	M	13940	M	6423	4496.1		899.22		1605.75	62	65
318	14210	F	65	M	15002	M	4551	3185.7		637.14		1137.75	62	65
319	26346	M	65	U		F	24357	17049.9		3409.98		6089.25	62	65
320	13868	M	65	M	13076	F	1995	1396.5		279.3		498.75	62	65
321	16563	M	65	M	15771	F	17750	12425		2485		4437.5	62	65
322	17061	F	65	M	17853	M	9196	6437.2		1287.44		2299	62	65
323	19526	M	65	M	18734	F	14657	10259.9		2051.98		3664.25	62	65
324	12968	F	65	M	13761	M	3112	2178.4		435.68		778	62	65
325	23389	F	65	U		M	11977	8383.9		1676.78		2994.25	62	65
326	683	M	65	M	-108	F	1298	908.6		181.72		324.5	62	65
327	32470	M	65	U		F	18159	12711.3		2542.26		4539.75	62	65
328	10815	M	65	M	10023	F	11467	8026.9		1605.38		2866.75	62	65
329	11766	F	65	M	12557	M	9791	6853.7		1370.74		2447.75	62	65
330	31830	M	65	U		F	9976	6983.2		1396.64		2494	62	65
331	23109	F	65	U		M	15446	10812.2		2162.44		3861.5	62	65
332	33424	F	65	U		M	19723	13806.1		2761.22		4930.75	62	65
333	964	M	65	M	173	F	966	676.2		135.24		241.5	62	65
